,Time,User,Tweet
0,2022-11-04 14:02:28+00:00,FarooqHKhan,RT @AAKiani1: @yusufzaman0123 @FarooqHKhan Have read well worded article of young #YusufZaman that gives convincing overview of ground real…
1,2022-11-04 14:02:23+00:00,iamSadiqAfridi,"RT @AmbreenPTI1: یہ ہے سندھ کی بےغیرت دہشتگرد پولیس جو آئین شکن درندوں کے حکم پر ظلم دہشتگردی کر رہی ہے

#PakistanUnderFascism
#SackGeneral…"
2,2022-11-04 14:02:20+00:00,iamSadiqAfridi,RT @MeenakhanAfridi: پشاور موٹروے ٹول پلازہ پر ہزاروں کی تعداد میں کارکنان جمع-  کہا تھا کہ #عمران_خان_ہماری_ریڈ_لاین_ہے ۔ اس کو کراس نہ کر…
3,2022-11-04 14:02:18+00:00,MshafiqICUP,"RT @michaelscottfc: Next time when they come at you with ""they are just taking orders"" slap them hard. The entire system, from top to botto…"
4,2022-11-04 14:02:15+00:00,AssilkhanPK,"کسی نے فارورڈ کی ہے کہ یہ کور کمانڈر ہاؤس لاہور کی طرف مارچ کر رہے ہیں لوگ ۔۔ اللّٰہ رحم فرمائے ۔۔
باجوہ صاحب کو فو… https://t.co/VdjMPM58WF"
5,2022-11-04 14:02:11+00:00,Jerusalem_Post,Russian President #VladimirPutin publicly endorsed the evacuation of civilians from parts of #Ukraine's southern… https://t.co/c5B81pPBeS
6,2022-11-04 14:02:10+00:00,mmumtaz36401,"RT @uaeembassyisb: The UAE strongly condemns gun attack on former Prime Minister of Pakistan Imran Khan, expresses solidarity with friendly…"
7,2022-11-04 14:02:07+00:00,leo_scope,#Leo money forecast for 2022. What does 2022 hold in store for you?  =&gt; https://t.co/2QM72cV3sb &lt;= #2022horoscope https://t.co/RV2XEjNFdq
8,2022-11-04 14:02:06+00:00,AbuzarFurqan,"مراد سعید ہی پی ٹی آئی کا واحد جانشین ہے 

@MuradSaeedPTI"
9,2022-11-04 14:02:04+00:00,RTErdogan,"Eksiklikleri, aksaklıkları, yanlışları düzelterek bugüne kadar devrim niteliğinde pek çok değişimi nasıl ülkemizin… https://t.co/zPbt2Hqh3z"
10,2022-11-04 14:02:00+00:00,JudicialWatch,".@TomFitton: UPDATE: Multiple Federal lawsuits probing Fauci, gain of function, and vaccines. https://t.co/OZQW3xF15R"
11,2022-11-04 14:02:00+00:00,wikileaks,"Freedom of the Press Foundation: ""We continue to urge the Biden administration to drop this prosecution...every day… https://t.co/z0u8GpKjuP"
12,2022-11-04 14:01:59+00:00,PTIDGKOFFICIAL,"Huge crowd Protesting in Tehsil Khaar!
#عمران_خان_ہماری_ریڈ_لائن_ہے
#عمران_خان_ہماری_ریڈ_لاین_ہے
#SackGeneralFaisal https://t.co/7GKY8wrFPG"
13,2022-11-04 14:01:54+00:00,OANN,RT @AddisonSmithOAN: I’ll never stop laughing at the fact that Anthony claims to be an “unbiased” podcast host. Why not just own it like I…
14,2022-11-04 14:01:44+00:00,mmumtaz36401,RT @AmbreenPTI1: شہید ارشد شریف کی جسد خاکی پاکستان لانے کی تیاری ہو رہی تھی اور یہاں پریس کانفرسز کی لائن لگائی ہوئی تھی اور شہید کا کنکشن…
15,2022-11-04 14:01:43+00:00,MyyPk47,RT @meddytweets: بطور سپریم کمانڈر ڈاکٹر عارف علوی کو چاہیئے میجر جنرل فیصل نصیر کو کٹہرے میں لانے کا مطالبہ کریں. تفتیش ہونے تک اس شخص سے…
16,2022-11-04 14:01:42+00:00,lithub,"RT @DCoonan3: From Gayl Jones's longtime US editor @hatwan at @BeaconPressBks 

So proud to be publish Jones at @ViragoBooks 

The Best Ame…"
17,2022-11-04 14:01:41+00:00,Reuters,Biden's ability to reshape U.S. judiciary hangs in balance as election looms https://t.co/9Xs9SfhZ7m https://t.co/2CSksvZ3bh
18,2022-11-04 14:01:39+00:00,Aamirshaikh901,"RT @Jooookeeeerrrr: تمام تیاریاں مکمل مرشد کچھ دیر بعد قوم سے اہم ترین خطاب کریں گے 
#پاکستان_کا_سوچو https://t.co/vek6akTpAv"
19,2022-11-04 14:01:37+00:00,intazarpanjutha,خان کا پیغام امن و محبت
